0-0-65-102-26 393-0-65-0-26 393-0-69-102-26 524-0-69-0-26 524-0-65-102-26
69-0-66-63-56 69-1-59-63-56 69-2-54-54-58 69-3-49-65-47 69-4-71-78-48
0-0-64-120-NONE 0-1-59-120-NONE 0-2-45-120-NONE 120-0-64-0-12 120-0-64-120-12
0-2-59-45-83 0-1-43-79-34 0-0-79-79-81 166-2-59-0-83 166-1-43-0-34
0-3-82-81-94 0-1-73-87-18 0-1-70-87-18 0-1-77-87-18 0-5-61-73-92
0-9-35-100-NONE 0-9-36-100-NONE 0-9-40-100-NONE 0-9-38-100-NONE 27-9-38-0-NONE
0-2-33-100-33 0-3-81-100-11 0-9-44-115-0 0-9-39-91-0 0-9-35-91-0
0-0-45-100-87 0-1-33-100-33 0-4-69-76-81 0-6-52-74-48 0-6-45-74-48
0-0-54-95-29 0-0-49-95-29 0-2-66-96-103 0-9-52-82-0 0-9-42-82-0
0-0-40-110-48 0-2-40-110-47 0-3-40-110-27 0-6-40-110-17 96-1-47-110-15
0-0-64-77-94 0-4-64-95-99 144-4-64-0-99 144-4-64-95-99 288-4-64-0-99
0-0-64-77-94 0-4-64-95-99 144-4-64-0-99 144-4-64-95-99 288-4-64-0-99
0-1-52-112-24 0-2-40-70-32 0-3-68-110-89 0-3-59-110-89 0-3-64-110-89
0-1-52-112-24 0-2-40-70-32 0-3-68-110-89 0-3-59-110-89 0-3-64-110-89
0-0-45-127-12 257-0-45-0-12 386-0-52-127-12 514-0-52-0-12 514-0-52-127-12
0-4-73-127-1 0-3-76-84-17 0-3-73-84-17 0-3-80-84-17 170-4-73-0-1
112-9-40-87-25 112-9-48-116-25 223-9-40-0-25 223-9-40-87-25 223-9-48-0-25
0-2-60-96-81 383-1-64-127-81 650-1-64-0-81 683-1-65-127-81 767-1-65-0-81
0-0-74-100-75 0-1-66-80-23 0-1-62-80-23 0-1-69-80-23 0-2-38-100-33
0-0-80-100-80 0-1-80-100-80 89-0-80-0-80 89-1-80-0-80 133-0-75-100-80
0-1-70-100-50 0-1-66-100-50 0-1-63-100-50 3657-2-39-121-43 3657-3-27-127-81
0-4-39-83-32 192-0-91-75-72 192-3-75-79-11 192-4-39-0-32 192-4-46-83-32
1358-1-40-104-33 1358-2-52-100-30 1358-9-36-120-0 1358-9-49-120-0 1369-0-52-100-50
0-0-93-110-11 0-0-98-110-11 0-9-49-127-24 0-9-42-92-24 157-0-93-0-11
4015-0-60-40-87 4063-0-60-0-87 4158-7-72-49-87 4206-7-72-0-87 4302-0-65-40-87
0-0-48-127-99 0-1-48-127-80 192-0-48-0-99 192-0-60-127-99 384-0-60-0-99
1539-9-35-71-0 1731-9-35-0-0 1920-9-35-71-0 2112-9-35-0-0 2304-9-35-71-0
0-10-43-92-58 32-10-43-0-58 48-2-43-45-57 80-2-43-0-57 96-10-49-92-58
98-0-29-81-48 98-4-53-55-57 98-4-56-42-57 98-4-48-45-57 98-2-29-64-42
0-0-59-105-6 0-1-35-127-6 0-2-35-105-32 256-0-59-0-6 256-0-59-105-6
0-0-61-97-61 0-1-37-73-30 0-1-61-73-30 0-9-44-99-NONE 0-9-85-99-NONE
0-5-53-45-106 0-4-67-52-111 0-4-65-45-111 0-9-87-80-120 0-9-70-40-120
0-9-40-70-0 0-9-47-48-0 107-9-47-0-0 107-9-40-0-0 107-9-40-48-0
1200-9-40-94-0 1200-9-55-94-0 1350-9-55-0-0 1350-9-40-0-0 1350-9-36-94-0
0-5-53-45-106 0-4-67-52-111 0-4-65-45-111 0-9-87-80-120 0-9-70-40-120
0-0-59-100-81 0-1-47-100-34 134-1-47-0-34 134-1-47-100-34 273-1-47-0-34
0-2-33-109-33 0-3-33-99-24 0-5-69-79-48 0-5-64-79-48 0-5-60-79-48
0-2-33-86-33 0-3-33-77-37 0-5-33-54-62 0-9-36-87-0 0-9-57-76-0
0-9-35-99-0 0-9-38-99-0 0-9-36-99-0 0-9-40-99-0 0-9-49-99-0
0-1-65-100-81 75-1-65-0-81 160-1-65-69-81 235-1-65-0-81 320-1-72-92-81
0-0-71-100-80 0-0-47-100-80 288-0-47-0-80 288-0-71-0-80 288-0-72-100-80
0-0-60-100-40 0-1-57-100-41 0-8-41-100-43 360-0-60-0-40 360-0-65-100-40
0-0-70-110-28 0-1-67-110-28 0-2-55-110-33 0-9-42-110-NONE 240-2-55-0-33
0-0-68-127-80 0-0-63-100-80 0-9-42-127-24 0-9-49-127-24 57-9-49-0-24
0-1-38-80-34 135-1-38-0-34 225-0-66-80-0 225-0-62-80-0 405-0-62-0-0
0-0-63-127-81 69-3-63-102-4 202-0-63-0-81 206-0-67-127-81 271-3-63-0-4
0-0-48-79-80 0-9-44-100-16 0-9-42-100-16 0-3-45-102-118 109-0-48-0-80
0-0-46-127-48 0-1-41-127-48 0-3-65-127-48 0-4-82-127-49 262-2-53-127-45
0-0-74-67-61 0-0-62-67-61 0-1-74-67-61 0-1-62-67-61 54-3-74-47-61
0-0-67-79-80 0-1-59-79-80 0-2-43-79-80 0-9-44-55-8 123-0-67-0-80
0-0-38-87-111 0-2-38-83-32 0-9-42-71-25 64-0-38-0-111 64-2-38-0-32
0-0-65-87-80 0-1-60-87-80 0-2-53-83-32 0-9-44-79-0 0-9-35-79-0
